dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason
Basketball_c,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Basketball_c,binclass,1072,215,268,11,2,0.7014925373134329,0.7002842928216062,0.6796598157335223,0.7467517127332861,0.5742795625337437,26.233835220336914,0.6517539024353027,ok,,1072,857,0,268,0.565356969833374,15,1e-05,True,26.12713122367859,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7581395348837209,0.7627906976744186,0.7581395348837209,0.7627906976744186,7,True,False,
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7493188010899182,0.7489383028415726,0.7488267094397909,0.8319372660844769,0.5070018050862316,11.647949934005737,1.4153110980987549,ok,,1467,1173,0,367,0.4904599040746689,13,1e-05,True,11.531578302383423,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7108843537414966,0.7210884353741497,0.7108843537414966,0.7210884353741497,5,True,False,
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.7874659400544959,0.7870287054052342,0.7862939183163902,0.8555377207062599,0.4752482646793006,14.706063985824585,1.2002077102661133,ok,,1465,1172,0,367,0.535999983549118,13,1e-05,True,14.658653020858765,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7508532423208191,0.757679180887372,0.7508532423208191,0.757679180887372,5,True,False,
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Fitness_Club_c,binclass,1200,240,300,6,2,0.8033333333333333,0.7961465279630122,0.7378673957621326,0.823097954676902,0.45273653322262886,18.803926467895508,1.5304310321807861,ok,,1200,960,0,300,0.45382440090179443,14,1e-05,True,18.650444269180298,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7666666666666667,0.775,0.7666666666666667,0.775,6,True,False,
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.684375,0.6842238962003302,0.684375,0.7597265625,0.5670224624765797,16.244043588638306,1.1279010772705078,ok,,1280,1024,0,320,0.515449583530426,8,1e-05,True,16.13811731338501,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.671875,0.671875,0.671875,0.671875,0,True,False,
Is-this-a-good-customer,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Is-this-a-good-customer,binclass,1378,276,345,13,2,0.881159420289855,0.8282083919519438,0.49836065573770494,0.7392622950819672,0.32511107072890744,10.977656602859497,1.902486801147461,ok,,1378,1102,0,345,0.3175787627696991,8,1e-05,True,10.768224716186523,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0,True,False,
Performance-Prediction,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Performance-Prediction,binclass,1072,215,268,19,2,0.75,0.7433845046398448,0.7118223656685195,0.7983981830135676,0.5305905867362072,37.838223934173584,1.0743238925933838,ok,,1072,857,0,268,0.5410361588001251,25,1e-05,True,37.64613890647888,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.6976744186046512,0.7116279069767442,0.6976744186046512,0.7116279069767442,17,True,False,
Pima_Indians_Diabetes_Database,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Pima_Indians_Diabetes_Database,binclass,614,123,154,8,2,0.7337662337662337,0.7256102474747123,0.6842592592592592,0.8616666666666666,0.46373491884188667,12.097775220870972,1.182565450668335,ok,,614,491,0,154,0.47559361159801483,12,1e-05,True,12.05513048171997,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7723577235772358,0.7804878048780488,0.7723577235772358,0.7804878048780488,4,True,False,
QSAR_biodegradation,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/QSAR_biodegradation,binclass,843,169,211,41,2,0.8862559241706162,0.8844403574544338,0.8587525150905433,0.9517102615694164,0.27190801797157627,24.50483536720276,2.166110038757324,ok,,843,674,0,211,0.3191968649625778,14,1e-05,True,24.109703302383423,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.863905325443787,0.8816568047337278,0.863905325443787,0.8816568047337278,6,True,False,
Waterstress,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Waterstress,binclass,950,190,238,22,2,0.8067226890756303,0.8067772987559084,0.8070696359137505,0.8923294450335808,0.42029330588692543,15.276156187057495,1.458050012588501,ok,,950,760,0,238,0.36367732286453247,14,1e-05,True,15.172593355178833,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.7947368421052632,0.8,0.7947368421052632,0.8,6,True,False,
autoUniv-au7-1100,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/autoUniv-au7-1100,multiclass,880,176,220,12,5,0.40454545454545454,0.3829759752110832,0.38926203336269555,0.7427086118964242,1.3397779825276472,6.995883464813232,1.0905883312225342,ok,,880,704,0,220,1.3784196972846985,10,1e-05,True,6.949360370635986,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.5227272727272727,0.5284090909090909,0.5227272727272727,0.5284090909090909,2,True,False,
baseball,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/baseball,multiclass,1072,215,268,16,3,0.9477611940298507,0.9395562619715698,0.6277056277056278,0.9769212740233207,0.12922448666993502,15.777222156524658,0.8504784107208252,ok,,1072,857,0,268,0.1614236906170845,17,1e-05,True,15.612955093383789,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9488372093023256,0.958139534883721,0.9488372093023256,0.958139534883721,9,True,False,
cmc,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/cmc,multiclass,1178,236,295,9,3,0.6033898305084746,0.603394360896538,0.5784569217405039,0.769222731769628,0.8665615793431031,6.906814098358154,0.8439629077911377,ok,,1178,942,0,295,0.8993445932865143,8,1e-05,True,6.862695217132568,full_train_epoch_chunks,full train set chunked per epoch | ft_chunk_split_seed=4 | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.5508474576271186,0.5508474576271186,0.5508474576271186,0.5508474576271186,0,True,False,
